Name,RA,DEC,Type,mag g,mag r,mag z,Probability,z,Survey
DESI-242.0285+03.8786,242.0285,3.8786,DEV,22.07,21.07,19.44,0.909,,
DESI-242.4262+06.1599,242.4262,6.1599,DEV,22.07,20.2,18.97,0.996,0.5453,BOSS
DESI-249.9825+19.0354,249.9825,19.0354,COMP,20.72,18.84,17.4,0.921,0.6064,BOSS
DESI-251.0765+01.6752,251.0765,1.6752,DEV,21.32,19.46,18.41,0.921,,
DESI-251.1722+04.9724,251.1722,4.9724,DEV,20.45,18.9,17.99,0.901,,
DESI-317.2431+03.9841,317.2431,3.9841,COMP,19.7,18.96,18.34,0.957,,
DESI-319.7989+00.0575,319.7989,0.0575,DEV,20.16,18.79,18,0.958,,
DESI-338.0990+01.5111,338.099,1.5111,DEV,22.37,20.79,19.51,0.992,,
DESI-351.1264-11.6503,351.1264,-11.6503,DEV,21.83,19.94,18.55,1,,
DESI-351.1287-11.2566,351.1287,-11.2566,COMP,21.8,20.75,19.72,0.998,,
DESI-351.1413-12.4955,351.1413,-12.4955,DEV,20.75,18.92,17.98,1,,
DESI-351.2285-11.6281,351.2285,-11.6281,DEV,21.89,20.09,19.11,0.999,,
DESI-351.2576-12.7728,351.2576,-12.7728,DEV,24.17,22.08,19.89,0.997,,
DESI-351.3096-12.5492,351.3096,-12.5492,COMP,20.71,19.13,18.29,1,,
DESI-351.3891-12.0013,351.3891,-12.0013,DEV,20.74,19.38,18.59,0.998,,
DESI-351.4008-11.9943,351.4008,-11.9943,DEV,21.19,19.36,18.44,0.998,,
DESI-351.4290-12.2431,351.429,-12.2431,DEV,20.59,18.78,17.88,1,,
DESI-351.4915-11.6013,351.4915,-11.6013,DEV,20.47,19.17,18.41,0.998,,
DESI-351.5372-11.3464,351.5372,-11.3464,DEV,21.76,20.16,19.38,0.999,,
