,GAMA_ID,ID,RA,DEC,SCORE
225,143928,2212.0,178.16974,-1.31916,4.0
226,559216,2507.0,176.11624,-0.61902,4.0
227,231431,2816.0,183.69348,1.97185,4.0
228,24397,2112.0,185.59486,1.09322,4.0
229,179666,649.0,185.93364,-1.9619400000000002,4.0
230,55314,1891.0,181.49326000000002,-0.28503,4.0
231,69781,865.0,176.55864,0.07481,4.0
232,611249,22.0,184.12447,0.35697,4.0
233,,,,,
234,55815,3368.0,183.55873,-0.26605999999999996,4.0
235,163592,155.0,174.15141,-2.71129,4.0
236,,,,,
237,71440,201.0,184.7359,0.14865,4.0
238,40316,2624.0,180.51567,-0.6937399999999999,4.0
239,,,,,
240,23705,2565.0,182.74438,1.19287,4.0
241,,,,,
242,32615,1375.0,185.47041000000002,-1.14149,4.0
243,,,,,
244,272448,2541.0,179.41953,1.42309,4.0
245,177351,29.0,176.43259,-1.9811,4.0
246,56108,1590.0,184.63742,-0.23206999999999997,4.0
247,,,,,
248,271912,1595.0,176.87413,1.38795,4.0
249,,,,,
250,,,,,
251,273287,2662.0,182.96048000000002,1.33664,4.0
252,171877,2059.0,180.13943,-2.4365099999999997,4.0
253,143144,3329.0,174.21927,-1.39193,4.0
254,,,,,
255,,,,,
256,611334,1517.0,184.42766,0.33915,4.0
257,171454,1985.0,178.4246,-2.30788,4.0
258,172095,2959.0,180.96903999999998,-2.33874,4.0
259,99618,2999.0,183.61463999999998,0.87977,4.0
260,,,,,
261,,,,,
262,,,,,
263,,,,,
264,,,,,
265,,,,,
266,,,,,
267,,,,,
268,165939,3378.0,184.10762,-2.84039,4.0
269,,,,,
270,,,,,
271,,,,,
272,69466,2818.0,174.80168,0.03706,4.0
273,219807,2529.0,179.20996,1.6205100000000001,4.0
274,,,,,
275,290269,1357.0,185.47202,1.74911,4.0
276,165812,1162.0,183.33772,-2.7301599999999997,4.0
277,179269,2443.0,183.98729,-2.01746,4.0
278,220682,1618.0,182.74348,1.59789,4.0
279,583789,1154.0,176.66692,-0.11009000000000001,4.0
280,69809,2960.0,176.69817,0.02717,4.0
281,186109,3189.0,182.97241,-1.49217,4.0
282,145196,2305.0,183.26285,-1.34695,4.0
283,,,,,
284,,,,,
285,7083,2072.0,175.55986000000001,0.73851,4.0
286,,,,,
287,31427,610.0,179.70218,-1.1041299999999998,4.0
288,23160,2775.0,180.45076,1.1349,4.0
289,23010,2397.0,179.90819,1.19835,4.0
290,230426,2436.0,179.70958000000002,1.9946099999999998,4.0
291,,,,,
292,,,,,
293,271500,375.0,174.51164,1.35002,4.0
294,,,,,
295,185602,1145.0,180.87231,-1.50094,4.0
296,177055,3464.0,175.45578,-1.9713599999999998,4.0
297,143752,1689.0,177.28355,-1.3395,4.0
298,130525,2151.0,177.75545,-2.10927,4.0
299,,,,,
300,136604,1642.0,175.87355,-1.74164,58.0
301,,,,,
302,184530,2250.0,176.70961,-1.43842,4.0
303,49576,704.0,221.51453999999998,-0.6712899999999999,58.0
304,15790,1258.0,216.7776,0.7208,42.0
305,568617,105.0,215.70692000000003,-0.55323,36.0
306,619609,315.0,220.63545,0.29188000000000003,32.0
307,568366,2664.0,214.82709,-0.42031,28.0
308,569270,1690.0,218.5273,-0.4848,26.0
309,64911,1741.0,220.62912000000003,-0.39809,26.0
310,,,,,
311,249703,1630.0,212.6116,2.14905,22.0
312,298994,2465.0,222.77661,1.19268,22.0
313,107432,987.0,219.88698,0.8993899999999999,20.0
314,92918,2098.0,217.90807,0.4978,18.0
315,92606,416.0,216.96487000000002,0.48495,18.0
316,544226,3212.0,214.42336,-0.8924700000000001,18.0
317,77991,1271.0,215.63468999999998,0.026330000000000003,16.0
318,363092,925.0,217.98772000000002,2.58088,16.0
319,250715,1692.0,215.53992000000002,2.15265,16.0
320,594552,3012.0,220.49692000000002,-0.01709,16.0
321,618700,967.0,216.44481000000002,0.33619,16.0
322,15705,2668.0,216.60178,0.83273,16.0
323,911856,1452.0,219.6719,-0.4812,16.0
324,249961,398.0,213.5445,2.0705,14.0
