,GAMA_ID,lambdar_log_mstar,z
1854,15317,10.126804,0.05496
1855,15318,10.60236,0.08391
1856,15319,9.554422,0.11944
1857,15320,9.773421,0.08454
1860,15323,9.985959,0.1262
1862,15325,10.096294,0.14538
1863,15326,9.137049,0.05487
1864,15327,8.682138,0.04055
1869,15333,10.991489,0.12668
1870,15335,9.751468,0.12704
1871,15336,10.363117,0.12702
1874,15339,9.208608,0.05183
1875,15340,10.896554,0.12652
1877,15342,10.229246,0.14586
1878,15343,11.087157,0.12606
1880,15345,10.014102,0.14758
1881,15346,10.703441,0.07501
1891,15356,9.468373,0.12691
1895,15360,10.320931,0.13255
1898,15364,10.731398,0.04018
1901,15374,10.824481,0.14471
1905,15378,10.660597,0.14527
1906,15379,9.225995,0.04937
1907,15380,10.975358,0.14453
1909,15382,10.269807,0.12646
1913,15386,9.792316,0.14712
1914,15387,10.813789,0.12631
1916,15389,11.7386055,0.14634
1917,15390,11.577986,0.14463
1918,15391,8.561073,0.14686
1922,15395,9.965449,0.12599
1923,15396,9.867787,0.12637
1927,15400,10.44156,0.13251
1933,15406,10.386002,0.14629
1934,15407,10.664701,0.14545
1936,15409,10.031741,0.12576
1944,15417,9.318516,0.10327
1945,15418,8.802731,0.05413
1947,15420,10.095434,0.14496
1949,15422,9.467972,0.0849
1961,15434,8.969772,0.08425
1966,15442,10.709685,0.14562
1968,15444,10.896565,0.05446
1970,15446,10.768144,0.14521
1972,15448,10.889436,0.12712
1974,15450,10.687382,0.14594
1975,15451,10.619559,0.1333
1986,15463,9.811219,0.12647
1988,15465,9.7864,0.0779
1991,15468,9.877953,0.12799
1995,15481,11.359978,0.05408
1999,15487,10.078795,0.09499
2002,15490,9.784849,0.05374
2004,15492,9.621839,0.09759
2008,15497,8.985022,0.05434
2009,15498,9.05879,0.09772
2016,15506,9.261938,0.10323
2018,15508,10.528429,0.14615
2019,15509,10.416099,0.05381
2020,15510,10.403967,0.05458
2023,15513,10.189239,0.14334
2024,15514,9.096286,0.05371
2025,15515,9.997467,0.08595
2026,15516,9.278757,0.05471
2027,15518,10.638704,0.08547
2028,15519,10.20547,0.0957
2029,15520,10.94503,0.14582
2030,15521,10.5701885,0.14168
2031,15522,10.8579855,0.09437
2032,15523,10.896093,0.12746
2042,15533,9.820172,0.14333
2045,15536,9.348425,0.08517
2046,15537,8.984903,0.05389
2047,15538,9.289876,0.05431
2050,15541,9.982764,0.14619
2051,15542,9.275152,0.09478
2053,15544,9.816066,0.03855
2058,15551,9.958457,0.0981
2060,15553,10.987886,0.10314
2061,15554,10.663937,0.14213
2065,15558,10.04993,0.11782
2067,15560,10.46883,0.14045
2068,15561,8.467671,0.0291
2069,15562,10.520047,0.09486
2075,15568,10.146162,0.12389
2079,15573,9.450914,0.09455
2103,15606,9.674995,0.13189
2109,15614,9.821986,0.14255
2111,15616,10.714615,0.142
2112,15617,10.468075,0.14332
2116,15622,10.138459,0.11276
2118,15624,10.603621,0.11282
2119,15625,11.102924,0.14203
2120,15626,9.381611,0.11291
2121,15627,10.0567,0.13449
2123,15629,10.57159,0.11244
2124,15630,9.887871,0.06522
2125,15631,9.209538,0.05604
2130,15636,10.091438,0.12428
2132,15638,10.195188,0.13219
2135,15641,9.605543,0.12408
2137,15643,9.29019,0.11216
2138,15644,9.790167,0.11329
2147,15660,10.305678,0.09378
2148,15661,11.531246,0.12642
2149,15663,10.723113,0.08535
2150,15664,10.844469,0.08446
2152,15666,9.939683,0.08372
2153,15667,9.701975,0.08552
2154,15668,10.169597,0.12716
2155,15669,10.933921,0.12607
2157,15671,10.227606,0.12373
2159,15673,11.154119,0.13495
2163,15678,9.8041315,0.12479
2164,15679,10.036883,0.12418
2168,15683,10.401986,0.12609
2171,15686,10.273923,0.12404
2174,15689,11.595565,0.12623
2175,15690,11.815812,0.125
2176,15691,10.403916,0.12556
2177,15692,10.237374,0.12389
2178,15693,10.309182,0.12234
2179,15694,5.8121996,0.12466
2182,15698,9.917653,0.11627
2184,15700,11.515111,0.12574
2185,15701,10.1651325,0.12572
2186,15702,11.06127,0.12441
2187,15703,9.735358,0.13612
2189,15705,11.517845,0.12625
2191,15707,10.074789,0.12819
2192,15708,10.483763,0.12821
2193,15709,11.088564,0.12794
2194,15710,10.813366,0.12843
2195,15711,10.5070915,0.12507
2196,15712,10.456311,0.1267
2201,15717,10.403443,0.12644
2202,15718,9.967614,0.11386
