,ID,score,P1,P3,RA,DEC,DISC
318,925.0,16.0,0.826,0.9159999999999999,217.98772000000002,2.58088,0.0
319,1692.0,16.0,0.966,0.943,215.53992000000002,2.15265,0.0
320,3012.0,16.0,0.8220000000000001,0.98,220.49692000000002,-0.01709,0.0
321,967.0,16.0,0.985,0.988,216.44481000000002,0.33619,0.0
322,2668.0,16.0,0.9420000000000001,,216.60178,0.83273,0.0
323,1452.0,16.0,0.8009999999999999,,219.6719,-0.4812,0.0
324,398.0,14.0,,0.823,213.5445,2.0705,0.0
325,35.0,14.0,,0.995,212.90727,1.12222,0.0
326,3479.0,14.0,0.8009999999999999,,217.39471,-0.44716999999999996,0.0
327,3126.0,12.0,0.9940000000000001,0.8440000000000001,220.54369,-0.46503999999999995,0.0
328,3466.0,12.0,0.85,0.9390000000000001,214.74447999999998,2.51797,0.0
329,26.0,12.0,,0.986,221.61067000000003,2.2238900000000004,0.0
330,1719.0,12.0,0.807,,214.6078,2.14697,0.0
331,1104.0,12.0,0.8079999999999999,,211.60345,1.16362,0.0
332,1523.0,12.0,0.9059999999999999,,218.2976,-1.9254900000000001,0.0
333,1673.0,12.0,0.823,,212.81597999999997,1.7765,0.0
334,3213.0,10.0,0.836,,215.15767000000002,2.04204,0.0
335,1230.0,8.0,,0.8079999999999999,213.7537,2.66748,0.0
336,796.0,8.0,0.9279999999999999,0.816,220.06036,0.20155,0.0
337,405.0,8.0,,0.828,220.18637,-1.9912599999999998,0.0
338,184.0,8.0,,0.828,218.68634,-0.16352,0.0
339,1921.0,8.0,,0.8959999999999999,215.68222000000003,-1.20323,0.0
340,2390.0,8.0,,0.91,215.00124,2.6989099999999997,0.0
341,1790.0,8.0,0.887,0.948,215.63472000000002,0.02638,0.0
342,1416.0,8.0,,0.95,213.65344,-0.46916,0.0
343,2635.0,8.0,0.968,0.975,211.85398999999998,1.55536,0.0
344,2749.0,8.0,0.887,0.99,212.84527999999997,0.02337,0.0
345,1973.0,8.0,0.8109999999999999,,212.90059,-0.9568200000000001,0.0
346,152.0,8.0,0.914,,214.68704,-0.22962,0.0
347,982.0,8.0,0.866,,217.98141,1.80345,0.0
348,539.0,8.0,0.812,,213.56206,-0.24168,0.0
349,2181.0,8.0,0.987,,223.0323,1.1508399999999999,0.0
350,3446.0,8.0,0.871,,218.72342000000003,-1.53014,0.0
351,358.0,4.0,0.872,0.8009999999999999,213.89685,-0.07243,0.0
352,3264.0,4.0,,0.8059999999999999,215.6768,-0.25938,0.0
353,1240.0,4.0,0.865,0.8170000000000001,214.04005,2.41518,0.0
354,1204.0,4.0,,0.821,214.41272999999998,-0.16268,0.0
355,1953.0,4.0,0.975,0.826,221.40536,2.31397,0.0
356,2448.0,4.0,,0.831,222.18031000000002,1.17729,0.0
357,323.0,4.0,0.846,0.836,217.2968,-0.46521999999999997,0.0
358,2123.0,4.0,,0.862,221.91681,-0.9994200000000001,0.0
359,1026.0,4.0,,0.8759999999999999,218.04238999999998,0.65258,0.0
360,1750.0,4.0,,0.882,223.32467999999997,2.6478900000000003,0.0
361,1682.0,4.0,,0.889,219.94438,-0.97582,0.0
362,1722.0,4.0,0.9590000000000001,0.89,219.08747999999997,1.3666399999999999,0.0
363,951.0,4.0,0.887,0.893,215.82188,-1.26624,0.0
364,457.0,4.0,,0.895,215.79222000000001,-0.09455,0.0
365,3119.0,4.0,,0.9129999999999999,214.61494,-0.28458,0.0
366,1954.0,4.0,,0.917,221.99892999999997,1.98125,0.0
367,3340.0,4.0,,0.919,218.10612000000003,-1.30167,0.0
368,501.0,4.0,,0.92,215.06900000000002,2.22428,0.0
369,1712.0,4.0,,0.927,215.95073,0.007540000000000001,0.0
370,1377.0,4.0,0.98,0.9309999999999999,218.86757999999998,0.058289999999999995,0.0
371,1788.0,4.0,0.9159999999999999,0.945,218.39002999999997,2.9011099999999996,0.0
372,818.0,4.0,,0.945,217.97697000000002,2.40406,0.0
373,2054.0,4.0,,0.955,212.20937999999998,-1.53839,0.0
374,1418.0,4.0,,0.9640000000000001,212.16078,0.2401,0.0
375,1446.0,4.0,,0.9670000000000001,223.00017000000003,-1.07518,0.0
376,1360.0,4.0,,0.9690000000000001,221.27143999999998,-1.18307,0.0
377,339.0,4.0,0.961,0.977,217.69655,0.79835,0.0
378,2538.0,4.0,,0.978,214.94325,0.91995,0.0
379,2573.0,4.0,0.95,0.982,222.0345,1.33095,0.0
380,2859.0,4.0,0.9840000000000001,0.983,214.58482,1.26891,0.0
381,1575.0,4.0,0.982,0.995,215.10176,1.91675,0.0
382,373.0,4.0,0.828,,214.67656000000002,0.3966,0.0
383,2836.0,4.0,0.9209999999999999,,218.15031000000002,2.5688400000000002,0.0
384,1924.0,4.0,0.892,,215.56828,1.56082,0.0
385,2253.0,4.0,0.9590000000000001,,220.77951000000002,1.9728900000000003,0.0
386,1899.0,4.0,0.888,,217.67545,0.81752,0.0
387,1014.0,4.0,0.903,,221.1959,1.9604099999999998,0.0
388,3358.0,4.0,0.8220000000000001,,212.97005,2.80015,0.0
389,613.0,4.0,0.904,,216.2635,0.26191,0.0
390,2012.0,4.0,0.938,,211.52118,2.15778,0.0
391,1708.0,4.0,0.8390000000000001,,220.38841000000002,0.48178999999999994,0.0
392,2950.0,4.0,0.93,,214.46526,0.93632,0.0
393,1524.0,4.0,0.888,,216.66547000000003,0.8499,0.0
394,2163.0,4.0,0.903,,215.08101000000002,2.1713400000000003,0.0
395,190.0,4.0,0.917,,219.56727999999998,-1.0509700000000002,0.0
396,2365.0,4.0,0.9520000000000001,,214.92287000000002,-1.82512,0.0
397,563.0,4.0,0.8170000000000001,,214.70021,-1.70514,0.0
398,3091.0,4.0,0.9179999999999999,,217.08359,-0.87218,0.0
