,GAMA_ID,RA,DEC,LENS_SCORE
190,599127,130.16257,0.38262,0.2002052362294573
191,375812,130.81162,1.42259,0.23889799047110036
192,380617,129.2873,1.70299,0.20759246069056117
193,231830,185.62686,1.91463,0.2085552679067154
194,296690,212.88073,1.49688,0.262276145848044
195,249572,212.15926,2.18613,0.21424873628377783
196,361723,212.08665,2.83952,0.23669801089021772
197,361884,212.92383,2.64074,0.2608329371941161
198,250276,214.43492,2.06029,0.24614409184712716
199,227484,213.80771,1.26222,0.2191261605180681
200,319067,213.49765,1.83181,0.23464501238362967
201,319101,213.52325,1.90409,0.22122710908027718
202,296643,212.71201,1.45717,0.23519151310516692
203,320071,216.89302,1.83378,0.2915472759872284
204,250464,214.75437,2.02382,0.2048172741348074
205,362496,215.2988,2.73505,0.28001302216579227
206,320551,218.67851,1.78336,0.5296417151914627
207,320109,217.02738,1.84224,0.2852695866730424
208,362912,217.19098,2.57792,0.25160012145012556
209,342699,216.90174,2.1325,0.4570880393017274
210,342891,217.77439,2.23353,0.21068169769302997
211,262212,218.26377,2.45411,0.22426940459350045
212,363319,218.85395,2.56676,0.4575320404435686
213,298442,219.94731,1.31319,0.21964676888760276
214,262685,220.6287,2.35319,0.23057568712260704
215,240348,221.99266,1.4015,0.2509005359691864
216,240203,221.12552,1.43162,0.24847960002248537
217,363720,221.03754,2.57078,0.2560705654953054
218,262830,221.50338,2.35811,0.24978177697356896
219,367450,222.26781,2.96742,0.2514857083033904
220,344071,223.43632,2.10999,0.2778312854684233
