,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,GAMA_ID,ID,RA,DEC,SCORE,STELLAR_MASS,Z,theta_e,theta_e_H0,theta_e_Ang,f_dm,theta_e_H0_slide,theta_e_Ang_slide,f_dm_half_re,theta_e_Ang_slide_half_re,lensing_mass_half_effective_radius,theta_e_half_radius,sigma,theta_e_veldisp
27,27,27,27,145278.0,1551.0,183.83234,-1.41031,24.0,215899996160.0,0.19830000400543213,1.6712271559157066,1.6712271559157068,1.649697954176079,0.5834528424992823,1.6170956163634058,1.5962637518058438,0.5191223396808701,0.9029831387713536,161885696612.0333,0.8921023044842846,244.20582671833637,0.8599556367524278
28,28,28,28,561967.0,1252.0,185.57948000000002,-0.56586,22.0,336700014592.0,0.4584000110626221,1.3726815169724298,1.3726815169724298,1.2673780466664577,0.6085416075772565,1.3701221436280353,1.2650150123064825,0.5442111047588444,0.715600554803758,282128268945.65845,0.7245030499457706,267.3593157060847,1.0307530904982083
29,29,29,29,41064.0,2347.0,184.11784,-0.80592,22.0,157400006656.0,0.34860000014305115,1.0762401998214723,1.0762401998214723,1.0304334402990791,0.5656106170304567,1.0197692503961977,0.97636599819564,0.5012801142120445,0.5523160145952875,109055762381.42093,0.5356414581675253,215.92271567518688,0.6722962225814676
30,30,30,30,165871.0,2803.0,183.70247,-2.78789,18.0,88500002816.0,0.10890000313520433,1.4438704364956243,1.4438704364956243,1.4385334752837844,0.5331026269871753,1.3196228061287234,1.314745099963022,0.46877212416876296,0.7437321405725105,53097220903.80752,0.6958514382536595,188.05045231567928,0.509932589487682
31,31,31,31,585328.0,3234.0,182.36838,-0.00889,18.0,134699999232.0,0.20469999313354487,1.2992580331104362,1.2992580331104362,1.2813653066698194,0.556817787122088,1.2188115281812697,1.2020266704388791,0.4924872843036757,0.6799689678675347,89763995793.7407,0.6532396785360771,206.67706888173032,0.6159544413165331
32,32,32,32,136604.0,1642.0,175.87355,-1.74164,58.0,286600003584.0,0.10599999874830246,2.6336356585837666,2.633635658583767,2.624429001913039,0.5994459048939964,2.598707556225304,2.5896230011237606,0.5351154020755842,1.4649119878490158,230668305093.9811,1.4703576939209897,265.3395108012762,1.0152379695246914
33,33,33,33,49576.0,704.0,221.51453999999998,-0.6712899999999999,58.0,371599998976.0,0.28760001063346863,1.820597454925459,1.820597454925459,1.7691670783533386,0.6141098415362293,1.8302667221038456,1.7785631967086204,0.549779338717817,1.0061072777291913,319144463940.2315,1.023898621475803,274.87248761714443,1.0894982809749099
34,34,34,34,15790.0,1258.0,216.7776,0.7208,42.0,120400003072.0,0.295199990272522,1.022882168247874,1.0228821682478741,0.9923399114839052,0.5504814447403651,0.952761280773394,0.9243127648294759,0.4861509419219528,0.5228702591585673,78014585909.39445,0.4988470602046772,200.26084573842365,0.5783038658742954
35,35,35,35,568617.0,105.0,215.70692000000003,-0.55323,36.0,316300001280.0,0.4526999890804291,1.338797469855164,1.3387974698551643,1.238840169459035,0.6050128951775189,1.3303187975013822,1.2309945317639748,0.5406823923591066,0.6963556648110923,260925591857.02304,0.7026779477756416,262.7047185621602,0.9951756713848958
36,36,36,36,619609.0,315.0,220.63545,0.29188000000000003,32.0,189099999232.0,0.20749999582767487,1.52899915530012,1.52899915530012,1.5073323369685478,0.5759698985205587,1.4663620253202458,1.4455828120023069,0.5116393957021466,0.8177451273068395,137169354215.07906,0.8017225574773935,227.34757130445593,0.7453232033197326
37,37,37,37,568366.0,2664.0,214.82709,-0.42031,28.0,113499996160.0,0.2651000022888184,1.0480055577217076,1.0480055577217076,1.0230986033535063,0.547149460088658,0.9725645698899144,0.9494505499461292,0.4828189572702457,0.5370903378145637,72466534625.3362,0.510529237505638,196.96716451032466,0.5594376224753039
38,38,38,38,569270.0,1690.0,218.5273,-0.4848,26.0,173900005376.0,0.3384000062942505,1.148167222451273,1.148167222451273,1.1023041141336698,0.5712389474057221,1.0950394966420227,1.051298555371007,0.5069084445873098,0.5947042700435683,123528503301.46065,0.5801863725541886,222.05685588098706,0.7110372876635196
39,39,39,39,64911.0,1741.0,220.62912000000003,-0.39809,26.0,213999992832.0,0.3700999915599823,1.2179174974915306,1.2179174974915306,1.158994899842735,0.5829537886443061,1.1777634791654488,1.1207835246519091,0.5186232858258939,0.6340109044188199,160106839132.0531,0.6260541385330342,235.38905546042528,0.7989811550662701
40,40,40,40,249703.0,1630.0,212.6116,2.14905,22.0,549399986176.0,0.4672999978065491,1.736668634520363,1.7366686345203628,1.5977687386804047,0.6361855237403876,1.7980811009428186,1.6542693957802317,0.5718550209219754,0.9357960861324596,520299598009.3542,0.9710210534510658,306.7953048915582,1.3572549106642187
41,41,41,41,298994.0,2465.0,222.77661,1.19268,22.0,293300011008.0,0.3910000026226044,1.387197149086709,1.3871971490867092,1.3116878484051888,0.600750570306438,1.3710343598049377,1.29640484821218,0.5364200674880257,0.7333573274671594,237428464726.38815,0.7370096108181623,257.1903646967387,0.9538353026533835
42,42,42,42,107432.0,987.0,219.88698,0.8993899999999999,20.0,429900005376.0,0.3127000033855438,1.8779771787703163,1.8779771787703168,1.814592194703249,0.622337768571235,1.9084062776618715,1.8439942587776508,0.5580072657528228,1.0431206758805904,382914664043.1397,1.069494648682416,286.36257145427663,1.182487370129184
43,43,43,43,92918.0,2098.0,217.90807,0.4978,18.0,403299991552.0,0.4061999917030335,1.595933089984433,1.595933089984433,1.5016362931911835,0.6187316676783483,1.6141043783701043,1.5187339185898985,0.5544011648599361,0.8591256421223481,353531365992.63965,0.8780048783936666,281.2687789549189,1.1407935559183
44,44,44,44,92606.0,416.0,216.96487000000002,0.48495,18.0,445200007168.0,0.3819000124931336,1.729311673511824,1.729311673511824,1.6398219473183484,0.6243121711451611,1.7619436463806406,1.6707652562164572,0.5599816683267489,0.9451275539532292,400024543684.2925,0.9707216954220568,289.19048572425123,1.2059575062363765
45,45,45,45,544226.0,3212.0,214.42336,-0.8924700000000001,18.0,73400000512.0,0.2269999980926513,0.9107635323211736,0.9107635323211736,0.8951701339606898,0.5225404881829127,0.8231323333515833,0.8090392895242429,0.4582099853645004,0.4576617342951509,42025487871.436966,0.4230057181097272,174.2611572002905,0.4378901649432569
46,46,46,46,250289.0,2730.0,214.36708,1.99311,28.0,189400006656.0,0.4009000062942505,1.100886361753243,1.100886361753243,1.0376523207155277,0.5760593986908314,1.0558987829656774,0.9952487928364588,0.5117288958724192,0.5629977363059083,137441432364.6764,0.5520177041857525,227.44886666849996,0.7459875130715815
